Year,Region,Rural,Urban,Total_Population
2024,"Kayseri, Sivas, Yozgat-TR72",285044.0,2217582.0,2502626.0
2024,"Kocaeli, Sakarya, Düzce, Bolu, Yalova-TR42",294644.0,3992732.0,4287376.0
2024,"Konya, Karaman-TR52",61623.0,2531192.0,2592815.0
2024,"Kırıkkale, Aksaray, Niğde, Nevşehir, Kırşehir-TR71",443725.0,1214008.0,1657733.0
2024,"Malatya, Elazığ, Bingöl, Tunceli-TRB1",243650.0,1480670.0,1724320.0
2024,"Manisa, Afyonkarahisar, Kütahya, Uşak-TR33",521036.0,2650898.0,3171934.0
2024,"Mardin, Batman, Şırnak, Siirt-TRC3",396151.0,2061567.0,2457718.0
2024,"Samsun, Tokat, Çorum, Amasya-TR83",420650.0,2438113.0,2858763.0
2024,"Tekirdağ, Edirne, Kırklareli-TR21",198410.0,1789030.0,1987440.0
2024,"Trabzon, Ordu, Giresun, Rize, Artvin, Gümüşhane-TR90",386197.0,2321580.0,2707777.0
2024,"Van, Muş, Bitlis, Hakkari-TRB2",413538.0,1738849.0,2152387.0
2024,"Zonguldak, Karabük, Bartın-TR81",376472.0,667523.0,1043995.0
2024,İstanbul-TR10,0.0,15701602.0,15701602.0
2024,İzmir-TR31,0.0,4493242.0,4493242.0
2024,"Şanlıurfa, Diyarbakır-TRC2",0.0,4071429.0,4071429.0
2025,"Adana, Mersin-TR62",0.0,4240037.0,4240037.0
2025,Ankara-TR51,0.0,5910320.0,5910320.0
2025,"Antalya, Isparta, Burdur-TR61",188198.0,3312008.0,3500206.0
2025,"Aydın, Denizli, Muğla-TR32",0.0,3332629.0,3332629.0
2025,"Ağrı, Kars, Iğdır, Ardahan-TRA2",436057.0,619886.0,1055943.0
2025,"Balıkesir, Çanakkale-TR22",217926.0,1640567.0,1858493.0
2025,"Bursa, Eskişehir, Bilecik-TR41",36393.0,4383569.0,4419962.0
2025,"Erzurum, Erzincan, Bayburt-TRA1",85749.0,973589.0,1059338.0
2025,"Gaziantep, Adıyaman, Kilis-TRC1",222851.0,2774748.0,2997599.0
2025,"Hatay, Kahramanmaraş, Osmaniye-TR63",122743.0,3165189.0,3287932.0
2025,"Kastamonu, Çankırı, Sinop-TR82",275758.0,530573.0,806331.0
2025,"Kayseri, Sivas, Yozgat-TR72",279464.0,2224136.0,2503600.0
2025,"Kocaeli, Sakarya, Düzce, Bolu, Yalova-TR42",292788.0,4046506.0,4339294.0
